Unique_Customer_ID,Reviews,Rating
CUS001,Great pair of jeans; very comfortable. ,4
CUS002,Great customer service!,4
CUS003,Great electronics. The sound quality is excellent. I would highly recommend this product.,5
CUS004,Great experience buying this product. Fast delivery and excellent customer service.,4
CUS005,Good product; but could have been better.,3
CUS006,Awesome product; highly recommend it to everyone.,5
CUS007,Great product; will definitely buy again.,4
CUS008,Good product; but not worth the price.,3
CUS009,Outstanding product; exceeded my expectations.,5
CUS010,Good product; but could have been better.,4
CUS011,Good product; but not what I expected.,3
CUS012,Great product; will definitely buy again.,4
CUS013,Great quality clothes!,5
CUS014,Good product; but could be cheaper.,3
CUS015,Very satisfied with my purchase!,5
CUS016,Not what I expected.,2
CUS017,Excellent product; highly recommend!,5
CUS018,Awesome purchase!,5
CUS019,Good product; but not worth the price.,3
CUS020,Great product; highly recommend!,5
CUS021,Satisfied with my purchase!,4
CUS022,Excellent product; highly recommend!,5
CUS023,Good product; but could be better.,3
CUS024,Excellent product; highly recommend!,5
CUS025,This dress is amazing! I love the color and fit. ,5
CUS026,The blouse is so comfortable and stylish.,5
CUS027,The headphones are great. Sound quality is excellent. ,4.5
CUS028,The dress fits perfectly. I love it. ,5
CUS029,The vacuum cleaner works great. ,4
CUS030,The top is nice; but the size is a bit small. ,3.5
CUS031,The phone is fantastic.,5
CUS032,The shirt is comfortable.,4
CUS033,The laptop is excellent. ,5
CUS034,The shoes are comfortable. ,4.5
CUS035,The coffee maker is great. ,5
CUS036,The skirt is lovely. ,4.5
CUS037,The TV is amazing. ,5
CUS038,The bedding is comfortable. ,4
CUS039,Great find!,5
CUS040,Great product; very happy with my purchase.,5
CUS041,The product arrived quickly and in great condition.,4
CUS042,Great headphones; sound quality is amazing.,4.5
CUS043,Great purchase! The shoes are so comfortable and stylish. I've received several compliments.,5
CUS044,I'm really happy with my new phone. The battery life is impressive.,5
CUS045,The headphones are amazing! The sound quality is excellent.,4.5
CUS046,I love my new kitchen gadget! It's so efficient and easy to use.,5
CUS047,The laptop is perfect for my needs. It's lightweight and powerful.,5
CUS048,The clothing arrived quickly and fits great! ,5
CUS049,The electronics were excellent quality and arrived promptly. ,5
CUS050,The electronics were as described and arrived on time. ,4
