Customer ID,Product,Rating,Review
1001,,4.0,"Great pair of jeans, very comfortable. Rating: 4 stars."
1001,,,Great customer service!
1001,,,Great electronics. The sound quality is excellent. I would highly recommend this product.
1001,Product 1,4.0,Great experience buying this product. Fast delivery and excellent customer service.
1002,Product 1,3.0,"Good product, but could have been better."
1003,Product 1,5.0,"Awesome product, highly recommend it to everyone."
1004,Product 1,4.0,"Great product, will definitely buy again."
1005,Product 1,3.0,"Good product, but not worth the price."
1006,Product 1,5.0,"Outstanding product, exceeded my expectations."
1007,Product 1,4.0,"Good product, but could have been better."
1008,Product 1,3.0,"Good product, but not what I expected."
1009,Product 1,4.0,"Great product, will definitely buy again."
1001,Review Text,,Great quality clothes!
1001,Rating,,5
1002,Review Text,,"Good product, but could be cheaper."
1002,Rating,,3
1003,Review Text,,Very satisfied with my purchase!
1003,Rating,,5
1004,Review Text,,Not what I expected.
1004,Rating,,2
1005,Review Text,,"Excellent product, highly recommend!"
1005,Rating,,5
1006,Review Text,,Awesome purchase!
1006,Rating,,5
1007,Review Text,,"Good product, but not worth the price."
1007,Rating,,3
1008,Review Text,,"Great product, highly recommend!"
1008,Rating,,5
1009,Review Text,,Satisfied with my purchase!
1009,Rating,,4
1010,Review Text,,"Excellent product, highly recommend!"
1010,Rating,,5
1011,Review Text,,"Good product, but could be better."
1011,Rating,,3
1012,Review Text,,"Excellent product, highly recommend!"
1012,Rating,,5
1001,,,This dress is amazing! I love the color and fit. 5 stars.
1001,,,The blouse is so comfortable and stylish. 5 stars!
1002,,,The headphones are great. Sound quality is excellent. 4.5 stars.
1003,,,The dress fits perfectly. I love it. 5 stars!
1004,,,The vacuum cleaner works great. 4 stars.
1005,,,"The top is nice, but the size is a bit small. 3.5 stars."
1006,,,The phone is fantastic. 5 stars!
1007,,,The shirt is comfortable. 4 stars.
1008,,,The laptop is excellent. 5 stars!
1009,,,The shoes are comfortable. 4.5 stars.
1010,,,The coffee maker is great. 5 stars!
1011,,,The skirt is lovely. 4.5 stars.
1012,,,The TV is amazing. 5 stars!
1013,,,The bedding is comfortable. 4 stars.
1001,,,Great find! 5 stars
1001,,,"Great product, very happy with my purchase."
1002,,,The product arrived quickly and in great condition.
1001,,,"Great headphones, sound quality is amazing."
1001,,,Great purchase! The shoes are so comfortable and stylish. I've received several compliments.
1002,,,I'm really happy with my new phone. The battery life is impressive.
1003,,,The headphones are amazing! The sound quality is excellent.
1004,,,I love my new kitchen gadget! It's so efficient and easy to use.
1005,,,The laptop is perfect for my needs. It's lightweight and powerful.
1001,,,The clothing arrived quickly and fits great! 5 stars.
1002,,,The electronics were excellent quality and arrived promptly. 5 stars.
1003,,,The electronics were as described and arrived on time. 4 stars.
